,SECONDARY
14491,Y
14493,Y
14494,Y
14495,Y
14496,Y
14497,Y
14498,Y
14501,Y
14502,Y
14533,Y
14538,Y
14550,Y
14569,Y
14574,Y
14588,Y
14589,Y
14591,Y
14592,Y
14593,Y
14594,Y
14610,Y
14628,Y
14639,Y
14640,Y
14652,Y
14653,Y
14664,Y
14670,Y
14708,Y
14733,Y
14765,Y
14766,Y
14768,Y
14771,Y
14774,Y
14791,Y
14792,Y
14793,Y
14822,Y
14823,Y
14824,Y
14828,Y
14829,Y
14832,Y
14835,Y
14836,Y
14845,Y
14847,Y
14877,Y
14914,Y
14915,Y
14916,Y
14945,Y
14946,Y
14948,Y
14949,Y
14950,Y
14951,Y
14964,Y
14966,Y
14967,Y
14972,Y
14973,Y
14975,Y
14988,Y
14989,Y
14992,Y
15015,Y
15023,Y
15024,Y
15025,Y
15026,Y
15027,Y
15069,Y
15070,Y
15085,Y
15116,Y
15117,Y
15119,Y
15137,Y
15138,Y
15139,Y
15154,Y
15156,Y
15163,Y
15172,Y
15194,Y
15195,Y
15196,Y
15197,Y
15207,Y
15222,Y
15223,Y
15224,Y
15225,Y
15226,Y
15227,Y
15228,Y
15229,Y
15233,Y
15240,Y
15241,Y
15243,Y
15250,Y
15265,Y
15268,Y
15269,Y
15277,Y
15280,Y
15284,Y
15285,Y
15289,Y
15291,Y
15301,Y
15302,Y
15304,Y
15305,Y
15306,Y
15308,Y
15309,Y
15316,Y
15320,Y
15332,Y
15333,Y
15334,Y
15345,Y
15346,Y
15347,Y
15349,Y
15350,Y
15351,Y
15352,Y
15356,Y
15381,Y
15388,Y
15393,Y
15399,Y
15415,Y
15416,Y
15418,Y
15419,Y
15422,Y
15423,Y
15424,Y
15425,Y
15426,Y
15427,Y
15428,Y
15429,Y
15430,Y
15431,Y
15432,Y
15433,Y
15434,Y
15435,Y
15450,Y
15453,Y
15456,Y
15457,Y
15459,Y
15465,Y
15487,Y
15488,Y
15489,Y
15490,Y
15491,Y
15492,Y
15493,Y
15494,Y
15495,Y
15527,Y
15541,Y
15542,Y
15543,Y
15549,Y
15551,Y
15560,Y
15563,Y
15564,Y
15565,Y
15567,Y
15568,Y
15569,Y
15576,Y
15577,Y
15579,Y
15581,Y
15582,Y
15584,Y
15633,Y
15644,Y
15645,Y
15646,Y
15648,Y
15649,Y
15650,Y
15652,Y
15653,Y
15655,Y
15656,Y
15657,Y
15658,Y
15660,Y
15664,Y
15665,Y
15669,Y
15670,Y
15671,Y
15672,Y
15673,Y
15675,Y
15676,Y
15678,Y
15681,Y
15682,Y
15683,Y
15684,Y
15685,Y
15686,Y
15687,Y
15688,Y
15689,Y
15690,Y
15692,Y
15693,Y
15694,Y
15695,Y
15696,Y
15697,Y
15700,Y
15701,Y
15703,Y
15704,Y
15705,Y
15706,Y
15707,Y
15708,Y
15709,Y
15710,Y
15711,Y
15712,Y
15713,Y
15714,Y
15715,Y
15717,Y
15718,Y
15719,Y
15720,Y
15721,Y
15722,Y
15723,Y
15725,Y
15726,Y
15746,Y
15753,Y
15771,Y
15773,Y
15774,Y
15775,Y
15776,Y
15777,Y
15778,Y
15779,Y
15780,Y
15818,Y
15819,Y
15825,Y
15826,Y
15827,Y
15828,Y
15829,Y
15830,Y
15831,Y
15833,Y
15834,Y
15835,Y
15838,Y
15839,Y
15841,Y
15842,Y
15843,Y
15844,Y
15845,Y
15846,Y
15847,Y
15848,Y
15849,Y
15850,Y
15851,Y
15852,Y
15853,Y
15854,Y
15855,Y
15857,Y
15858,Y
15859,Y
15860,Y
15861,Y
15862,Y
15863,Y
15864,Y
15866,Y
15867,Y
15868,Y
15869,Y
15872,Y
15877,Y
15878,Y
15879,Y
15880,Y
15881,Y
15882,Y
15883,Y
15884,Y
15885,Y
15886,Y
15887,Y
15888,Y
15890,Y
15891,Y
15892,Y
15893,Y
15900,Y
15902,Y
15918,Y
15926,Y
15931,Y
15932,Y
15934,Y
15956,Y
15957,Y
15958,Y
15959,Y
15960,Y
15965,Y
15966,Y
15967,Y
15968,Y
15970,Y
15973,Y
15975,Y
15977,Y
15979,Y
15980,Y
15981,Y
15982,Y
15984,Y
15985,Y
15987,Y
15988,Y
15989,Y
15990,Y
15991,Y
15992,Y
15993,Y
15994,Y
15999,Y
16000,Y
16001,Y
16002,Y
16003,Y
16004,Y
16005,Y
16006,Y
16007,Y
16008,Y
16009,Y
16010,Y
16011,Y
16012,Y
16014,Y
16015,Y
16026,Y
16027,Y
16028,Y
16029,Y
16040,Y
16047,Y
16059,Y
16061,Y
16062,Y
16063,Y
16064,Y
16065,Y
16066,Y
16067,Y
16068,Y
16069,Y
16070,Y
16071,Y
16072,Y
16073,Y
16074,Y
16075,Y
16076,Y
16077,Y
16078,Y
16079,Y
16080,Y
16081,Y
16082,Y
16084,Y
16087,Y
16088,Y
16090,Y
16096,Y
16104,Y
16111,Y
16131,Y
16133,Y
16134,Y
16135,Y
16136,Y
16156,Y
16157,Y
16158,Y
16164,Y
16165,Y
16173,Y
16175,Y
16176,Y
16187,Y
16202,Y
16203,Y
16204,Y
16205,Y
16209,Y
16210,Y
16211,Y
16225,Y
16229,Y
16242,Y
16244,Y
16245,Y
16246,Y
16247,Y
16248,Y
16249,Y
16250,Y
16251,Y
16253,Y
16263,Y
16278,Y
16285,Y
16287,Y
16288,Y
16298,Y
16302,Y
16303,Y
16304,Y
16305,Y
16306,Y
16307,Y
16308,Y
16309,Y
16329,Y
16330,Y
16331,Y
16332,Y
16333,Y
16335,Y
16336,Y
16337,Y
16338,Y
16340,Y
16347,Y
16381,Y
16382,Y
16383,Y
16384,Y
16385,Y
16386,Y
16387,Y
16388,Y
16389,Y
16390,Y
16391,Y
16397,Y
16453,Y
16454,Y
16458,Y
16459,Y
16460,Y
16470,Y
16531,Y
16539,Y
16548,Y
16549,Y
16578,Y
16591,Y
16596,Y
16601,Y
16610,Y
16620,Y
