,LAY_NUMBER_IMP,LAY_MORPH1_IMP,LAY_MORPH2_IMP,LAY_MORPH3_IMP,INT_MORPH1_IMP,INT_MORPH2_IMP,INT_MORPH3_IMP,DEG_RIM_IMP,DEG_EJC_IMP,DEG_FLR_IMP,CONF_IMP,LAT_CIRC_IMG_IMP_FLAG,LAT_CIRC_IMG_IMP,LON_CIRC_IMG_IMP_FLAG,LON_CIRC_IMG_IMP,LAT_ELLI_IMG_IMP_FLAG,LAT_ELLI_IMG_IMP,LON_ELLI_IMG_IMP_FLAG,LON_ELLI_IMG_IMP,DIAM_CIRC_IMG_IMP_FLAG,DIAM_CIRC_IMG_IMP,DIAM_CIRC_SD_IMG_IMP_FLAG,DIAM_CIRC_SD_IMG_IMP,DIAM_ELLI_MAJOR_IMG_IMP_FLAG,DIAM_ELLI_MAJOR_IMG_IMP,DIAM_ELLI_MINOR_IMG_IMP_FLAG,DIAM_ELLI_MINOR_IMG_IMP,DIAM_ELLI_ECCEN_IMG_IMP_FLAG,DIAM_ELLI_ECCEN_IMG_IMP,DIAM_ELLI_ELLIP_IMG_IMP_FLAG,DIAM_ELLI_ELLIP_IMG_IMP,DIAM_ELLI_ANGLE_IMG_IMP_FLAG,DIAM_ELLI_ANGLE_IMG_IMP,LAT_ELLI_SD_IMG_IMP_FLAG,LAT_ELLI_SD_IMG_IMP,LON_ELLI_SD_IMG_IMP_FLAG,LON_ELLI_SD_IMG_IMP,DIAM_ELLI_MAJOR_SD_IMG_IMP_FLAG,DIAM_ELLI_MAJOR_SD_IMG_IMP,DIAM_ELLI_MINOR_SD_IMG_IMP_FLAG,DIAM_ELLI_MINOR_SD_IMG_IMP,DIAM_ELLI_ANGLE_SD_IMG_IMP_FLAG,DIAM_ELLI_ANGLE_SD_IMG_IMP,DIAM_ELLI_ECCEN_SD_IMG_IMP_FLAG,DIAM_ELLI_ECCEN_SD_IMG_IMP,DIAM_ELLI_ELLIP_SD_IMG_IMP_FLAG,DIAM_ELLI_ELLIP_SD_IMG_IMP,ARC_IMG_IMP_FLAG,ARC_IMG_IMP,PTS_RIM_IMG_IMP_FLAG,PTS_RIM_IMG_IMP
dec_tree,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
dec_tree,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
rand_for,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rand_for,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
grad_boost,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
grad_boost,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
